,longitude,latitude,coordinate,true class,feature1,feature2,true target,noisy target
610,2.8472630660539187,4.004707646747389,POINT (2.847263066053919 4.004707646747389),1,0.9951231500436128,0.22516872346832728,0.6706293204485947,0.6460020812196394
612,7.159377407797617,1.6599837455380384,POINT (7.159377407797617 1.659983745538038),1,0.8224233469766186,0.9412440981951118,2.646155641561954,2.4415016911057035
614,1.3226938421685541,8.423036099293874,POINT (1.322693842168554 8.423036099293874),1,0.6046958735623026,0.5277505640664383,1.1879475657616174,1.3172955176670502
617,6.0459362819609055,0.8251026417563434,POINT (6.045936281960905 0.8251026417563434),1,0.10164138996396355,0.008469451935770533,-0.8729502542287249,-0.8928852984320199
619,2.1989736881506525,3.7096580289222016,POINT (2.198973688150653 3.709658028922202),1,0.628013657049767,0.7882722658437125,1.9928304545809041,1.9735611279893555
621,4.496936795796861,8.660764151402274,POINT (4.496936795796861 8.660764151402274),1,0.8294053744248107,0.9393048475653881,2.647319917120975,2.720858461368099
623,3.7639596768399364,2.0156204706759215,POINT (3.763959676839936 2.015620470675922),1,0.9979007157253724,0.2021251653452375,0.6042762117610849,0.6857833809558742
624,0.7331737299189067,4.3412535782834505,POINT (0.7331737299189067 4.34125357828345),1,0.01518407341728234,0.5070434999769756,0.5363145733482091,0.5300928166185894
626,3.4107060131985953,8.265813141234087,POINT (3.410706013198595 8.265813141234087),1,0.2067946729263156,0.8072910215898209,1.6286677376957783,1.4714423328525423
627,7.785229706865644,9.979187486279914,POINT (7.785229706865644 9.979187486279914),1,0.5799720832108336,0.06957264321010781,-0.21130998715884297,-0.22741095893508848
629,2.1391786507502486,4.579930935187463,POINT (2.139178650750249 4.579930935187463),1,0.3904248599444923,0.7253818465049497,1.5665703994593416,1.554791354335275
632,1.5392256299370755,4.475448015092165,POINT (1.539225629937075 4.475448015092165),1,0.9259252915552404,0.7859421495973176,2.283751740347193,2.3450293303891616
634,4.2805681546844525,7.118907209074219,POINT (4.280568154684453 7.118907209074219),1,0.3134100876804329,0.21023548314094076,-0.05588346289674484,-0.10480478857511297
636,4.328800782017597,5.279739822250939,POINT (4.328800782017597 5.279739822250939),1,0.8826518864405539,0.8047256097671028,2.2968287157418623,2.098873535486759
599,2.0118506148972335,4.196157447290214,POINT (2.011850614897233 4.196157447290214),1,0.41517394708471245,0.1564514811796549,-0.11547160937632284,-0.1672897527637155
596,2.06337708019803,8.258557583900199,POINT (2.06337708019803 8.258557583900199),1,0.4685818993937939,0.9445361962991795,2.3021904882913327,2.3505017378075066
595,3.84748954097176,3.1565053029733923,POINT (3.84748954097176 3.156505302973392),1,0.16301991866264098,0.406560913482778,0.3827026591109748,0.41958831803667285
589,3.9732725752662947,9.913864020802205,POINT (3.973272575266295 9.913864020802205),1,0.2355388944555783,0.9165512390392324,1.9851926115732752,2.1518801100493055
560,4.8497454776385185,7.949882786370899,POINT (4.849745477638518 7.949882786370899),1,0.9768598276036402,0.47111023111478156,1.3901905209479848,1.2894554997662973
561,6.264180805983537,1.5631013608049216,POINT (6.264180805983537 1.563101360804922),1,0.5996754663017119,0.0775957943794614,-0.16753715055990392,-0.377620676940422
565,1.9825367009119277,4.376433912328573,POINT (1.982536700911928 4.376433912328573),1,0.4592197641569279,0.42856978747162255,0.7449291265717957,0.6614257106531047
567,2.088833520161326,5.211622131525695,POINT (2.088833520161326 5.211622131525695),1,0.5726320725038081,0.8886731289206509,2.2386514592657605,2.160231281388974
569,8.261826997237293,9.18442254358257,POINT (8.261826997237293 9.184422543582571),1,0.20163569518836877,0.1233451741424264,-0.428328782384352,-0.4655095453124376
570,3.9058856824583787,2.4951536958411102,POINT (3.905885682458379 2.49515369584111),1,0.3684766181330713,0.4077341414053264,0.5916790423490506,0.5560268961039844
571,9.106988099150525,8.083968596759858,POINT (9.106988099150525 8.083968596759858),1,0.9453790571948604,0.23099176141836064,0.6383543414499422,0.6677808476623909
555,1.626811814430521,4.0817169943493115,POINT (1.626811814430521 4.081716994349311),1,0.4390847984773033,0.7784394019350972,1.7744030042825947,1.7212819324237871
572,8.499841114713387,6.411252630300242,POINT (8.499841114713387 6.411252630300242),1,0.9204956973073449,0.3438932023978487,0.9521753045008912,0.8429844691982903
574,7.387692219398669,7.04238346779917,POINT (7.387692219398669 7.04238346779917),1,0.09198309425888151,0.901429195248658,1.7962706800048558,1.6969982313046246
575,6.246435409483199,1.2735054275260094,POINT (6.246435409483199 1.273505427526009),1,0.6997470109458153,0.6552855499166441,1.6656036606957478,1.6163032728765703
576,5.552169240988474,0.22964309719662457,POINT (5.552169240988474 0.2296430971966246),1,0.2826677173391804,0.8021838298310691,1.6892192068323877,1.7527737403624886
578,3.3522179691260714,7.898812773199585,POINT (3.352217969126071 7.898812773199585),1,0.5775018088049023,0.1469115433433058,0.018236438834819735,0.25198731776975947
584,8.953031406805433,7.024976155050664,POINT (8.953031406805433 7.024976155050664),1,0.8648124714638115,0.5822356667813481,1.6115194718078554,1.531938882354059
587,2.0298497318404065,9.217929380820692,POINT (2.029849731840407 9.217929380820692),1,0.5958720446707461,0.054057257072352094,-0.24195618411219766,-0.3797220473178975
588,4.5619822063229,8.710856936894926,POINT (4.5619822063229 8.710856936894926),1,0.2608874441285971,0.34643852241863504,0.3002030113845022,0.2735639328930041
573,5.616303730207304,0.4378527837070134,POINT (5.616303730207304 0.4378527837070134),1,0.33043632007043366,0.9504141986986677,2.1816789161664367,2.188077098300637
477,3.5516314760552348,6.586673296944277,POINT (3.551631476055235 6.586673296944277),1,0.7720621596921271,0.28495700427091275,0.6269331725048652,0.5605692626434635
474,5.065422624164717,8.62459942738617,POINT (5.065422624164717 8.624599427386171),1,0.90355492435303,0.9087752210033415,2.6298805873630546,2.698346012754487
470,7.814110552243934,6.805413081906456,POINT (7.814110552243934 6.805413081906456),1,0.9657959505383374,0.976467702115048,2.8951990568834813,2.950191628542861
346,9.31704701038662,7.019639124759552,POINT (9.31704701038662 7.019639124759552),1,0.897165916127236,0.4488329818787985,1.2436648617636314,1.2539110368193294
351,4.054580162342443,6.6124750588759715,POINT (4.054580162342443 6.612475058875972),1,0.3953598152790101,0.840117397350922,1.9157120073317757,1.8869723649926813
353,7.202649804785319,9.54774550010449,POINT (7.202649804785319 9.54774550010449),1,0.40294558423934557,0.4417855036142976,0.7283020950822383,0.8431286922478649
355,7.6763253711723225,8.547426384627027,POINT (7.676325371172322 8.547426384627027),1,0.16830332456124497,0.9017924021752093,1.873680531086873,1.790705629214971
358,4.224947379024677,8.807391334962398,POINT (4.224947379024677 8.807391334962398),1,0.45249355528351687,0.9950487927486364,2.4376399335294265,2.547110523075541
360,5.019769354391233,9.401686540554099,POINT (5.019769354391233 9.401686540554099),1,0.1651874801175861,0.08701810282050881,-0.5737582114208875,-0.547725559023328
363,8.615885817487108,5.989898913873847,POINT (8.615885817487108 5.989898913873847),1,0.8101197916944747,0.12761505293519437,0.19296495050005769,0.23017397416767618
365,6.996334660107369,7.823630017924473,POINT (6.996334660107369 7.823630017924473),1,0.27324650583798915,0.13503187879778922,-0.3216578577686432,-0.2682878256830909
369,5.775266657412265,0.613623432007856,POINT (5.775266657412265 0.613623432007856),1,0.25769969789339486,0.8503484889500682,1.8087451647435993,1.6836747303299322
370,7.793151323712435,2.8900632901047274,POINT (7.793151323712435 2.890063290104727),1,0.12853841611917516,0.6043573892031423,0.941610583728602,1.0793435184374889
371,3.2398675163979074,7.08301763711519,POINT (3.239867516397907 7.08301763711519),1,0.6132521766928606,0.9917331042558185,2.588451489460316,2.6493060426905455
374,9.256750438386867,6.7619653305497085,POINT (9.256750438386867 6.761965330549708),1,0.7052220832670384,0.5957744553660241,1.4925454493651111,1.5769034021773014
378,6.323003370518966,0.12479345923109952,POINT (6.323003370518966 0.1247934592310995),1,0.9426266323264761,0.5545093848381338,1.6061547868408779,1.7250246307908002
382,7.482980822930381,9.407229933116517,POINT (7.482980822930381 9.407229933116517),1,0.06888349437645203,0.9752267305494349,1.9945636860247564,1.8789522283726123
387,7.749060200318416,8.565043291294069,POINT (7.749060200318416 8.565043291294069),1,0.9465347077345977,0.7973096184586854,2.338463563110654,2.392645399264942
345,2.364549736081286,2.7801128250534637,POINT (2.364549736081286 2.780112825053464),1,0.40710776086611256,0.1519229456908372,-0.13712340206137585,-0.18577524671947196
344,5.156277692944182,8.296161889263427,POINT (5.156277692944182 8.296161889263427),1,0.13681914136630646,0.5508009637036392,0.7892220324772239,0.7189163651293127
343,2.8632402027252013,7.544950699125268,POINT (2.863240202725201 7.544950699125268),1,0.43990276594671407,0.975233049750648,2.365601915198658,2.3819276359438675
342,9.596939734228558,6.258303032924618,POINT (9.596939734228558 6.258303032924618),1,0.5835062433920251,0.9079302423126642,2.3072969703300177,2.4456769853713745
315,7.779906519789867,2.5670305060304086,POINT (7.779906519789867 2.567030506030409),1,0.66464190709072,0.32886918511246255,0.6512494624281078,0.6264758752106968
316,7.336777800804553,0.5666465369421658,POINT (7.336777800804553 0.5666465369421658),1,0.33281742906178313,0.8086106876231404,1.7586494919312043,1.7944447524547809
317,9.52593328115037,6.578078077768166,POINT (9.525933281150371 6.578078077768166),1,0.5651760984944947,0.1260636801012206,-0.05663286120184352,-0.11638022861515598
319,6.215680175100048,0.5894713291721032,POINT (6.215680175100048 0.5894713291721032),1,0.35292379020215736,0.7293324777129956,1.5409212233411438,1.5342647023234133
320,5.030310139424428,9.34914143211057,POINT (5.030310139424428 9.349141432110571),1,0.3489397304842493,0.8790322940750526,1.9860366127094067,1.7711683327722212
321,7.080108541044061,2.432926418243111,POINT (7.080108541044061 2.432926418243111),1,0.8835659726812329,0.15120382883380623,0.3371774591826515,0.22067658089238837
322,8.310262453860279,7.979479889674474,POINT (8.310262453860279 7.979479889674474),1,0.7521673905447175,0.9423939685379111,2.5793492961584508,2.5725058330564985
391,8.266307462305196,9.165975274005657,POINT (8.266307462305196 9.165975274005657),1,0.7073774394310479,0.5201589383417289,1.2678542544562346,1.2512983326693543
323,5.458947628439505,9.637204993371336,POINT (5.458947628439505 9.637204993371336),1,0.7306443976936267,0.46125391725903797,1.1144061494707405,0.9514211494820657
327,7.708820033593991,1.3289317628537667,POINT (7.708820033593991 1.328931762853767),1,0.6951387172494978,0.46337173189857994,1.0852539129452374,1.0291109642776557
328,6.390830120717147,1.8354399151319467,POINT (6.390830120717147 1.835439915131947),1,0.9417122075169589,0.6423018349941712,1.8686177124994723,1.9700001728911876
329,8.988367148588168,7.569632305532981,POINT (8.988367148588168 7.569632305532981),1,0.07852877998579844,0.7393969572824236,1.2967196518330693,1.1728992873077673
331,4.053085548037252,6.501345503215302,POINT (4.053085548037252 6.501345503215302),1,0.8562915887956988,0.3145514177248958,0.7999458419703862,0.9007296796914896
332,4.270503426548771,7.903829110035593,POINT (4.270503426548771 7.903829110035593),1,0.13748741667848496,0.18913487331339618,-0.2951079633813265,-0.3188783782852575
333,7.998047573159174,2.454388995347175,POINT (7.998047573159174 2.454388995347175),1,0.019696401437478417,0.09543136113225548,-0.6940095151657552,-0.7466919436644875
338,5.537786242668663,7.6578807327154195,POINT (5.537786242668663 7.657880732715419),1,0.7168703309913717,0.31228662157424614,0.6537301957141102,0.6835848444722296
324,0.3755085632255184,6.2221203893599615,POINT (0.3755085632255184 6.222120389359961),1,0.987269440267804,0.8252573347722046,2.4630414445844178,2.5982934394507113
392,6.197949583187457,0.7359501050730832,POINT (6.197949583187457 0.7359501050730832),1,0.6460759328759871,0.06759357186690085,-0.15114335152331038,-0.12688313583716684
396,5.1284974150880345,0.2623142374542897,POINT (5.128497415088034 0.2623142374542897),1,0.8736585954845676,0.2995311780151303,0.7722521295299585,0.7631655934002167
397,4.028045808965142,8.925013451881291,POINT (4.028045808965142 8.925013451881291),1,0.5101505294570086,0.9127763423196211,2.248479556415872,2.2857265771586985
439,0.42308546829291194,9.818356392136089,POINT (0.4230854682929119 9.818356392136089),1,0.49718490959768236,0.29717981344090727,0.38872434992040406,0.3342282271836064
440,0.15593681229759349,5.891765619748886,POINT (0.1559368122975935 5.891765619748886),1,0.54078053105839,0.37980860874895717,0.6802063573052615,0.6733036193310313
444,7.888795271586284,7.820378827485489,POINT (7.888795271586284 7.820378827485489),1,0.9228143526181071,0.7879862720670948,2.2867731688193915,2.347045497721198
445,6.901436807004472,2.0344513042326517,POINT (6.901436807004472 2.034451304232652),1,0.2908105452529741,0.5068072212580245,0.8112322090270474,0.7728747430175644
447,3.583189840518688,9.517183440042885,POINT (3.583189840518688 9.517183440042885),1,0.0803397830153858,0.5149307365796046,0.6251319927541998,0.6174150378723197
449,9.94462363769616,5.989080995404372,POINT (9.944623637696161 5.989080995404372),1,0.8992918966862586,0.4502101090136039,1.2499222237270704,1.320664379432801
452,0.9804719342560786,9.814703148031395,POINT (0.9804719342560786 9.814703148031395),1,0.43251432001034995,0.7857292971220367,1.78970221137646,1.8302651959552125
436,7.117772362920769,8.15457226146598,POINT (7.117772362920769 8.154572261465979),1,0.25775080497822,0.40858874974674386,0.4835170542184517,0.5636053724858867
453,8.269909984311704,7.122184151313689,POINT (8.269909984311704 7.122184151313689),1,0.07912592790433193,0.18342418310132858,-0.37060152279168235,-0.42536829720694774
456,7.749944519946905,2.410521635938915,POINT (7.749944519946905 2.410521635938915),1,0.19241075232087268,0.7829988801090346,1.5414073926479768,1.5446854686039486
457,1.630476067725819,9.040190384041257,POINT (1.630476067725819 9.040190384041257),1,0.09392197907914457,0.9430736577093763,1.9231429522072734,1.934125806184867
458,6.84962586199261,2.565810519512829,POINT (6.84962586199261 2.565810519512829),1,0.4652976292915747,0.27410963235252683,0.2876265263491553,0.24622342843442124
464,3.582371228095409,3.0793094316097047,POINT (3.582371228095409 3.079309431609705),1,0.46101523984027803,0.06707315200181518,-0.3377653041542764,-0.433694527508413
465,7.392756985945122,1.188732128660388,POINT (7.392756985945122 1.188732128660388),1,0.5350180398060469,0.81732493054886,1.986992831452627,1.9991851352396075
466,0.5229459469481701,8.625053258586219,POINT (0.5229459469481701 8.625053258586219),1,0.8795773645639132,0.917979728242462,2.6335165492912993,2.6154036034833354
469,6.02537416338783,9.456782344867491,POINT (6.02537416338783 9.456782344867491),1,0.9355766086037994,0.294153944008262,0.8180384406285854,0.7678268753533052
455,3.339451210527681,3.198425418630615,POINT (3.339451210527681 3.198425418630615),1,0.4633873648323783,0.15416132662678161,-0.07412865528727686,-0.039679208286054375
638,8.281304248448473,2.3656996820442444,POINT (8.281304248448473 2.365699682044244),1,0.29966884501576296,0.8333773200632756,1.7998008052055896,1.8305598038298738
435,7.683999830097601,1.4456500131234418,POINT (7.683999830097601 1.445650013123442),1,0.45198364872895547,0.4580370513458505,0.8260948027665069,0.7775578405509251
431,6.1898089271936865,1.3474536116689262,POINT (6.189808927193686 1.347453611668926),1,0.5371792471492955,0.1599047807605225,0.016893589430863054,-0.06591525554018492
399,1.8655264196823118,8.189541224151068,POINT (1.865526419682312 8.189541224151068),1,0.49748675043385526,0.3864173987056879,0.6567389465509192,0.7611710508064873
402,8.887569945493139,6.337101413610781,POINT (8.887569945493139 6.337101413610781),1,0.1950382626006988,0.3224615390506288,0.1624228797525853,0.2340777831808661
407,1.6317709889853094,9.728224285839445,POINT (1.631770988985309 9.728224285839445),1,0.010696446306498908,0.470010812380245,0.4207288834472338,0.4136696821106282
412,3.348471770224152,3.679628517294551,POINT (3.348471770224152 3.679628517294551),1,0.3474161079226654,0.17975162993002614,-0.11332900228725618,-0.30363057523480474
413,8.815782069772684,7.952148759774667,POINT (8.815782069772684 7.952148759774667),1,0.1309699525010426,0.4636228175804473,0.5218384052423846,0.4663119264303885
414,4.089329212615546,5.5695055880580036,POINT (4.089329212615546 5.569505588058004),1,0.7640611164865917,0.7906716970530199,2.1360762076456514,2.0626893598194096
416,5.46143672582308,0.21019513104952203,POINT (5.46143672582308 0.210195131049522),1,0.22386916831102277,0.33606621018662863,0.23206779887090856,0.17343534612472844
432,7.567295611667236,0.09208701826539767,POINT (7.567295611667236 0.09208701826539767),1,0.45551326193162456,0.6013617022599542,1.2595983687114871,1.370433331451444
417,0.8066117115117166,5.864602867658607,POINT (0.8066117115117166 5.864602867658607),1,0.5883384597577048,0.3859865157061838,0.7462980068762561,0.612613317678381
423,6.330269819191639,1.2188753257812235,POINT (6.330269819191639 1.218875325781223),1,0.45249886146784135,0.20104653342863021,0.055638461753731994,0.029555362006166735
424,9.83567459827609,5.959129396685898,POINT (9.835674598276089 5.959129396685898),1,0.9375534909501977,0.556845605857355,1.6080903085222626,1.569925926136498
425,1.7287627953842166,4.416772913184314,POINT (1.728762795384217 4.416772913184314),1,0.9324144248500987,0.18311796220179122,0.4817683114554723,0.42965638830025155
426,5.417834468338077,9.516257191789801,POINT (5.417834468338077 9.516257191789801),1,0.4922866662542428,0.603246573084668,1.3020263855082468,1.3806262738646988
427,6.9641638906863275,2.507074971026202,POINT (6.964163890686327 2.507074971026202),1,0.20221714654902678,0.6948390804972923,1.2867343880409035,1.232001415165032
428,5.864938945830193,9.674685258191358,POINT (5.864938945830193 9.674685258191358),1,0.4068254246255052,0.35855973201072244,0.48250462065767263,0.439554227415212
429,2.0819500348577193,5.213875067429407,POINT (2.081950034857719 5.213875067429407),1,0.07456889932135535,0.9422853215547407,1.9014248639855773,1.9397886559142354
418,7.813772823013593,8.662938054491008,POINT (7.813772823013593 8.662938054491008),1,0.5967333185181442,0.5350028046422571,1.2017417324449156,1.3798167015665785
314,5.378546354049742,9.590562790562153,POINT (5.378546354049742 9.590562790562153),1,0.014415806846260426,0.7640593924641477,1.3065939842387033,1.1555145327064897
639,9.53942613460235,8.531185888696475,POINT (9.539426134602349 8.531185888696475),1,0.6111214122065668,0.5377063195534251,1.2242403708668421,1.1223707427121152
647,3.3440350566157315,2.345368051374661,POINT (3.344035056615732 2.345368051374661),1,0.28738983300382814,0.017984587443686584,-0.6586564046651121,-0.5258438129298207
888,8.69996028180025,0.12091643242655326,POINT (8.69996028180025 0.1209164324265533),1,0.0466053394642999,0.16556349012903127,-0.4567041901486063,-0.5333696819948334
889,4.238127236184507,7.072266981500217,POINT (4.238127236184507 7.072266981500217),1,0.3452015434908533,0.00896795973470177,-0.6278945773050414,-0.6707885908767058
890,4.670494374702937,9.636273576409515,POINT (4.670494374702937 9.636273576409515),1,0.3513012579122736,0.13058429597605126,-0.2569458541595726,-0.20718019191907064
895,5.473010025148629,0.268703010503506,POINT (5.473010025148629 0.268703010503506),1,0.959485702119039,0.6162336950628907,1.8081867873077115,1.7956852585986045
898,8.607009070225075,8.976615894148452,POINT (8.607009070225075 8.976615894148452),1,0.4119105131588595,0.20763192309131684,0.03480628243281014,0.045983782675580925
899,9.124046258189422,6.504602866593164,POINT (9.124046258189422 6.504602866593164),1,0.7554756859057422,0.22707622887812218,0.43670437254010874,0.4177971992451194
902,0.06205195965656718,5.485012880045529,POINT (0.06205195965656718 5.485012880045529),1,0.8976380402385153,0.8586539358925047,2.4735998479160295,2.519399508621076
903,4.690415756291343,0.35302723661272184,POINT (4.690415756291343 0.3530272366127218),1,0.24202733929594533,0.7112204679876225,1.375688743258813,1.312513735494576
906,8.482660123342933,9.295830389575261,POINT (8.482660123342933 9.295830389575261),1,0.5102288031860738,0.38448500271124064,0.6636838113197956,0.6898816756967316
911,2.178347303588012,4.272517965142607,POINT (2.178347303588012 4.272517965142607),1,0.32435894723537984,0.18254088967781756,-0.12801838373116747,-0.07436653016253211
912,1.10942794868795,4.4947748428444925,POINT (1.10942794868795 4.494774842844492),1,0.5261876221658125,0.7020785496955997,1.6324232712526117,1.5736518780519284
913,7.614318580056381,7.8849046356081605,POINT (7.614318580056381 7.88490463560816),1,0.16287247233774194,0.3597455833874357,0.24210922250004896,0.38018128904868165
915,4.9753742640093,9.30751345322263,POINT (4.9753742640093 9.307513453222629),1,0.590000966038157,0.908893871787167,2.316682581399658,2.395373242732337
917,4.285802210522394,6.536043745470321,POINT (4.285802210522394 6.536043745470321),1,0.1286747975772422,0.5495469958429671,0.7773157851061434,0.7598293490408957
918,7.848794934309992,1.8455214955622257,POINT (7.848794934309992 1.845521495562226),1,0.6779371668922213,0.9811155361866674,2.6212837754522234,2.6521878402054715
885,4.6119756455455345,5.675449383647836,POINT (4.611975645545535 5.675449383647836),1,0.4157835415377693,0.19324271318364938,-0.004488318911282541,0.15136699715954471
879,8.127246640143186,9.356425874521413,POINT (8.127246640143186 9.356425874521413),1,0.17395612240184488,0.6249535893919886,1.048816890577811,1.028753816732012
878,8.346559543100607,7.6343319748141925,POINT (8.346559543100607 7.634331974814192),1,0.7516417547423259,0.19857545709823787,0.34736812603703937,0.21943962309924528
876,1.2042233513835798,8.66756873188725,POINT (1.20422335138358 8.667568731887251),1,0.9739980165861376,0.2656588145153971,0.770974460132329,0.7231356165427028
838,8.951658111929529,8.16540642118319,POINT (8.951658111929529 8.16540642118319),1,0.9336901063564637,0.05608059560972212,0.1019318931856299,0.24476542923124023
842,0.0698393293352384,9.489939011905262,POINT (0.0698393293352384 9.489939011905262),1,0.08781773088197775,0.8402065170612687,1.608437282065784,1.663394087001041
843,4.573158299071048,5.6296223713345945,POINT (4.573158299071048 5.629622371334595),1,0.41125423837658825,0.5510753015456297,1.0644801430134772,1.0388751340966937
847,2.909460759589857,7.032242558244731,POINT (2.909460759589857 7.032242558244731),1,0.13876626735229547,0.4844110430943601,0.5919993966353756,0.6144670557525483
848,9.001848659141874,6.126938069992921,POINT (9.001848659141874 6.126938069992921),1,0.5947185750612484,0.7704999348575063,1.9062183796337675,1.9751958233914761
