,longitude,latitude,coordinate,true class,feature1,feature2,feature3,true w,true b,true target,noisy target
462,9.619297880211661,7.897843454204226,POINT (9.619297880211661 7.897843454204226),1,0.18519807955712198,0.14314548627323764,0.6510459184525323,"[2, 5, -3]",2,2.735151105020301,2.668998028532047
543,1.0818308341410887,4.257309818164298,POINT (1.081830834141089 4.257309818164298),1,0.336155090852876,0.21793915146287068,0.8653363628273254,"[2, 5, -3]",2,3.1017682416073358,3.149082826239006
551,2.5049472962775754,8.827164199116082,POINT (2.504947296277575 8.827164199116082),1,0.28974085375573466,0.2421606892095035,0.9654674619066157,"[2, 5, -3]",2,3.060627790999078,2.9181728512395955
606,4.0674399661373775,7.29214975876067,POINT (4.067439966137377 7.29214975876067),1,0.6790115271798893,0.6710479418047839,0.6967937829395034,"[2, 5, -3]",2,2.7127209536897143,2.857531319229543
611,8.060705427022866,1.6050193015829317,POINT (8.060705427022866 1.605019301582932),1,0.10302398444514893,0.7808873821006601,0.5067475999279129,"[2, 5, -3]",2,1.1510208046168904,1.1519344711290598
615,6.949158775222908,0.29268842795271754,POINT (6.949158775222908 0.2926884279527175),1,0.46246551184681084,0.9057792184862068,0.501003115392132,"[2, 5, -3]",2,1.6143757021133402,1.5611219433418317
616,8.75983351941698,6.917391641919234,POINT (8.759833519416979 6.917391641919234),1,0.35636212025714653,0.8414428840258396,0.772726579725773,"[2, 5, -3]",2,1.802565052188387,1.7594920358235808
617,1.6367589641685543,9.169183414069463,POINT (1.636758964168554 9.169183414069463),1,0.8909374962528601,0.5988873258720855,0.09443409473317477,"[2, 5, -3]",2,2.678534435494724,2.7961066983617053
625,6.196677284639019,0.5952194914343656,POINT (6.196677284639019 0.5952194914343656),1,0.11454750342950304,0.9076342010154724,0.30180442268336505,"[2, 5, -3]",2,0.7156310275114262,0.7908899988128092
604,1.5642127267505046,8.308811945722459,POINT (1.564212726750505 8.308811945722459),1,0.5632416168566956,0.2410084592917736,0.9950579786015169,"[2, 5, -3]",2,3.6395242937313608,3.6474949917681627
626,8.037614802135442,9.127499423638177,POINT (8.037614802135442 9.127499423638177),1,0.954147351766849,0.31942954044395044,0.2207995723135926,"[2, 5, -3]",2,3.4902351949593897,3.444236991427093
631,2.137941094237502,6.827065368048066,POINT (2.137941094237502 6.827065368048066),1,0.4486275877913414,0.40609344913041656,0.32531862635977904,"[2, 5, -3]",2,2.4103869036816286,2.433078689677135
632,6.702329361266828,1.186684981051025,POINT (6.702329361266828 1.186684981051025),1,0.07979843012165411,0.7852342675651779,0.8963621972017779,"[2, 5, -3]",2,1.4854905223147303,1.4456654278891814
634,4.207297811644199,6.858075689347853,POINT (4.207297811644199 6.858075689347853),1,0.7063182185142292,0.6008030719990608,0.8206557885122187,"[2, 5, -3]",2,3.0316860815425555,2.932688507536696
635,8.299670297569243,6.8707150362711165,POINT (8.299670297569243 6.870715036271116),1,0.721253647876928,0.2658847020964493,0.44903850616317253,"[2, 5, -3]",2,3.35977639772413,3.1981522612140245
637,8.692671224918223,5.761812676344661,POINT (8.692671224918223 5.761812676344661),1,0.8260713892665803,0.3927326165630073,0.028356389013603267,"[2, 5, -3]",2,2.8950339344207494,2.755002627952563
640,7.023332080663169,1.732060356905284,POINT (7.023332080663169 1.732060356905284),1,0.2586108831219066,0.9009279868303759,0.8128125526041792,"[2, 5, -3]",2,1.5281783451872406,1.5092056411669161
630,2.2920743379135033,7.370342569158165,POINT (2.292074337913503 7.370342569158165),1,0.7649406552152079,0.36787525209869454,0.3956116876290928,"[2, 5, -3]",2,3.1897424938621195,3.341365361707636
603,4.011059253046527,6.011490176111263,POINT (4.011059253046527 6.011490176111263),1,0.09980934716583056,0.4315450976905807,0.9574154455609923,"[2, 5, -3]",2,2.293943944511492,2.2160240400549376
602,7.617957345238015,3.432759054965293,POINT (7.617957345238015 3.432759054965293),1,0.3967024711900051,0.8418075598147737,0.05627646224387217,"[2, 5, -3]",2,1.166066284994335,1.0608863752125757
601,2.927923295439119,2.862392235157195,POINT (2.927923295439119 2.862392235157195),1,0.03016706306757022,0.5149589688107175,0.8513496668720448,"[2, 5, -3]",2,1.8817658553857504,1.905016184434347
555,9.288202812318481,5.379843373593619,POINT (9.288202812318481 5.379843373593619),1,0.6455870294467231,0.022512838066227503,0.22469929983782,"[2, 5, -3]",2,3.4708476825988113,3.4253148717829665
556,3.079818840911023,2.789083947592289,POINT (3.079818840911023 2.789083947592289),1,0.43602112719743435,0.883054540247332,0.8200394690303703,"[2, 5, -3]",2,1.925972642930575,1.8242273145043963
557,2.0752943004703903,9.810151340784067,POINT (2.07529430047039 9.810151340784067),1,0.030909514066493782,0.8434352271673135,0.5109169254281903,"[2, 5, -3]",2,0.8858654992265511,0.8947033667922892
559,4.441437980961656,9.934639691359273,POINT (4.441437980961656 9.934639691359273),1,0.41801080471675867,0.3161288887315893,0.5553369640188416,"[2, 5, -3]",2,2.7591007959891805,2.7118150484570664
565,8.446371981883786,0.5116375216269664,POINT (8.446371981883786 0.5116375216269664),1,0.03573083367518326,0.48378807864596607,0.4786876026090736,"[2, 5, -3]",2,1.582573112667508,1.6045314688522778
568,8.748135377608756,5.34260117096684,POINT (8.748135377608756 5.34260117096684),1,0.2066134795813509,0.6497970840174077,0.5257308147259248,"[2, 5, -3]",2,1.6393636058538112,1.500079423327051
571,7.814254225763582,2.0921995032154026,POINT (7.814254225763582 2.092199503215403),1,0.35992547073133596,0.444219076703958,0.7391667872003369,"[2, 5, -3]",2,2.570579575255093,2.5953271812606666
574,1.6466427832962893,4.906051989206338,POINT (1.646642783296289 4.906051989206338),1,0.20308752962394183,0.337760443380678,0.3145419042653015,"[2, 5, -3]",2,2.045196076751829,2.100215652796208
575,8.075661141490448,8.503133138544554,POINT (8.075661141490448 8.503133138544554),1,0.5496555291783222,0.3161294181677151,0.5219453584898285,"[2, 5, -3]",2,2.9889975805110427,2.9748274316196297
578,2.4745906218166205,8.76444472535464,POINT (2.47459062181662 8.76444472535464),1,0.4143606414674875,0.33781298320090536,0.44093562059415925,"[2, 5, -3]",2,2.5940309371273234,2.4417746463990113
583,5.432300080186745,9.399913073440091,POINT (5.432300080186745 9.399913073440091),1,0.7746788908940607,0.8636512407393125,0.4661301804183592,"[2, 5, -3]",2,2.2881854807278557,2.1596455784559216
589,6.663000659540411,1.8040174782508467,POINT (6.663000659540411 1.804017478250847),1,0.441236972718979,0.2989314424900278,0.16069496372395897,"[2, 5, -3]",2,2.4453060241818614,2.4236852739505657
592,4.255319407215473,9.736841902607535,POINT (4.255319407215473 9.736841902607535),1,0.2849856807622184,0.7173592942616808,0.6014829326012383,"[2, 5, -3]",2,1.7367357056023136,1.748712295552195
595,7.3370279245459376,2.7364299826436946,POINT (7.337027924545938 2.736429982643695),1,0.35511432072073645,0.3271388532469327,0.11341784715685876,"[2, 5, -3]",2,2.169368782104466,2.235564897757148
598,4.51425086747273,9.999798372841289,POINT (4.51425086747273 9.999798372841289),1,0.6117818939984581,0.943388918145376,0.7365960374240811,"[2, 5, -3]",2,2.073381989130245,2.0438047795113783
545,6.853414294246019,2.784410636011371,POINT (6.853414294246019 2.784410636011371),1,0.6840746816194029,0.09623958063019422,0.4755461351088197,"[2, 5, -3]",2,3.651216337087237,3.6906976213428906
645,9.307814914979435,5.310502455614517,POINT (9.307814914979435 5.310502455614517),1,0.8343775921432567,0.4365533456906806,0.7048507807401091,"[2, 5, -3]",2,3.500499273645261,3.5586872167288526
459,7.951380723165013,0.5497720460555422,POINT (7.951380723165013 0.5497720460555422),1,0.15340101137589535,0.46230079795339707,0.10889450470921902,"[2, 5, -3]",2,1.4910949315542155,1.5767246266651733
457,1.295638104900445,6.302175024297375,POINT (1.295638104900445 6.302175024297375),1,0.2848515922090358,0.02150533270113797,0.536633142850032,"[2, 5, -3]",2,3.0633256618658278,3.1128116367738805
343,0.6265811448497804,6.095003313740835,POINT (0.6265811448497804 6.095003313740835),1,0.5096173695836727,0.33887991578740007,0.6188794871199953,"[2, 5, -3]",2,2.9603543947125406,3.023832699450538
344,7.810390581425608,1.2124718842707916,POINT (7.810390581425608 1.212471884270792),1,0.6584370759281815,0.15598398863049678,0.8320371062178362,"[2, 5, -3]",2,3.8369432808132053,3.734166223203862
345,6.05998442894453,1.1761993188520015,POINT (6.05998442894453 1.176199318852001),1,0.9313639587973327,0.4943775704172485,0.11778478621672106,"[2, 5, -3]",2,2.9917575629768893,2.962629583450869
346,0.983186892584057,8.936271760424013,POINT (0.983186892584057 8.936271760424013),1,0.9530191059843769,0.36206897242682534,0.9449552084045848,"[2, 5, -3]",2,4.1268554755196885,4.095306469192116
347,7.296762504730618,3.2259870206940198,POINT (7.296762504730618 3.22598702069402),1,0.2789052520004799,0.874207755851733,0.9376140713288907,"[2, 5, -3]",2,1.7470090636263844,1.5163419364464406
348,7.409862716620092,2.865552371724891,POINT (7.409862716620092 2.865552371724891),1,0.29661563446476036,0.2584101635995769,0.04872159848433655,"[2, 5, -3]",2,2.1251325402147034,2.2388334118208686
342,1.9304158702752183,8.588537167647614,POINT (1.930415870275218 8.588537167647614),1,0.907277280513103,0.5389314479769127,0.7002604561913086,"[2, 5, -3]",2,3.436952121263689,3.562289393036575
350,2.421128670649212,3.269254671690358,POINT (2.421128670649212 3.269254671690358),1,0.33499419775584616,0.46069325874120104,0.15567916881696753,"[2, 5, -3]",2,1.9042810468462577,1.8241548376398524
353,8.118981728387936,2.4066704683392457,POINT (8.118981728387936 2.406670468339246),1,0.13431812922134434,0.5905632484652589,0.79124453468987,"[2, 5, -3]",2,1.878754296202041,1.5717661268168754
356,6.444695684069125,1.842933738088992,POINT (6.444695684069125 1.842933738088992),1,0.1686927335786017,0.9862351124220883,0.6012152987467327,"[2, 5, -3]",2,0.9661305410597596,0.9553362540784498
364,6.819539189368453,0.8940032421845956,POINT (6.819539189368453 0.8940032421845956),1,0.300395642251863,0.898338817781244,0.8401663095340569,"[2, 5, -3]",2,1.6442799584752947,1.5584647706916146
367,3.0382406960391837,9.8876402419134,POINT (3.038240696039184 9.887640241913401),1,0.7125400231202716,0.8610408277321281,0.35927858743368624,"[2, 5, -3]",2,2.0622769782099732,1.979533046344255
368,3.564919235150917,7.498819025480957,POINT (3.564919235150917 7.498819025480957),1,0.8225713388626357,0.9049539492238118,0.19316700186426072,"[2, 5, -3]",2,2.0284017811419086,2.092003154215767
369,6.934789352148503,0.06009733636499148,POINT (6.934789352148503 0.06009733636499148),1,0.5114025134432755,0.7360088927091787,0.7477679159488496,"[2, 5, -3]",2,2.2985551574170433,2.3674795692792685
352,1.9023176363045913,7.042956253296184,POINT (1.902317636304591 7.042956253296184),1,0.6832366911829925,0.23000582122136737,0.5076458198810918,"[2, 5, -3]",2,3.414107559804342,3.3298193969235235
341,9.295329304223747,8.510118911442644,POINT (9.295329304223747 8.510118911442644),1,0.23001998311226202,0.031009253695503558,0.7330686133400193,"[2, 5, -3]",2,3.131090072173536,3.2209862512817766
340,7.509943756852261,0.8881286482575834,POINT (7.509943756852261 0.8881286482575834),1,0.9146088549490766,0.661902594379173,0.9310423995666905,"[2, 5, -3]",2,3.436454920706498,3.581244446569405
332,5.40057206034363,1.16512814051847,POINT (5.40057206034363 1.16512814051847),1,0.027568489324102274,0.7220565918289678,0.5843358031872358,"[2, 5, -3]",2,1.1953595981775047,1.1821069945005513
302,7.710664748166178,9.312310824766946,POINT (7.710664748166178 9.312310824766946),1,0.790571176109246,0.1582728571257751,0.712779372913073,"[2, 5, -3]",2,3.9773760108800147,4.1676639838728144
303,6.688085697112095,0.08479476663080243,POINT (6.688085697112095 0.08479476663080243),1,0.48750201531318993,0.6026068422412799,0.514952847275541,"[2, 5, -3]",2,2.284743193419361,2.2023088585088026
305,5.91777354547998,0.8912063143120397,POINT (5.91777354547998 0.8912063143120397),1,0.1893772907362299,0.4541642499814631,0.5254968630793514,"[2, 5, -3]",2,1.995922944588885,1.802750324811751
307,5.645979655820486,8.544238683853957,POINT (5.645979655820486 8.544238683853957),1,0.5742641364243432,0.9208682672679922,0.8193392079773038,"[2, 5, -3]",2,2.1261309462900058,2.16013562480883
309,4.556399928729159,8.78603488088,POINT (4.556399928729159 8.786034880880001),1,0.20527314739354063,0.38491497069014535,0.615888203460627,"[2, 5, -3]",2,2.2566045568674173,2.149109668326999
310,0.38929030581508983,9.475547508373335,POINT (0.3892903058150898 9.475547508373335),1,0.2815841638742076,0.7250030209935865,0.9198214909004269,"[2, 5, -3]",2,2.032983776661669,2.023867742677675
316,4.096380044073605,1.9294894860065137,POINT (4.096380044073605 1.929489486006514),1,0.16632293854850233,0.6232960139589552,0.4040677379456813,"[2, 5, -3]",2,1.4901215871247757,1.561064414642749
317,2.6816556817590467,2.237316547168037,POINT (2.681655681759047 2.237316547168037),1,0.7787196033974025,0.829120046133081,0.09166313687360916,"[2, 5, -3]",2,1.9908622514022523,1.934615007931738
319,4.742653798708466,7.959905506929657,POINT (4.742653798708466 7.959905506929657),1,0.5145926442837347,0.3431021098530219,0.6985107158750897,"[2, 5, -3]",2,3.0414917847365155,3.0452802137710977
320,0.17939786450495765,6.4232290877929135,POINT (0.1793978645049576 6.423229087792913),1,0.2538572404133873,0.5605663197836865,0.22510033717531697,"[2, 5, -3]",2,1.6116821784347186,1.6499960269370915
321,7.992601335723038,3.0126747918271244,POINT (7.992601335723038 3.012674791827124),1,0.2690546438353063,0.6441062941182903,0.2807854135109572,"[2, 5, -3]",2,1.530682112944989,1.4202182313758
322,7.967349383977764,9.534910744487785,POINT (7.967349383977764 9.534910744487785),1,0.20471161232599933,0.2626275805118552,0.5525876771956922,"[2, 5, -3]",2,2.4367557408239806,2.6493970431300458
326,7.739057579769453,9.563575234395728,POINT (7.739057579769453 9.563575234395728),1,0.16747822975378734,0.39869018554631175,0.2812249438201787,"[2, 5, -3]",2,1.8188010322351298,1.6632654413995862
329,7.457447864629083,9.036525794503456,POINT (7.457447864629083 9.036525794503456),1,0.8142741180967028,0.8499111903764757,0.9045516043763723,"[2, 5, -3]",2,2.8332774598168267,2.8007141771561708
330,9.969191090893636,6.21077406115209,POINT (9.969191090893636 6.21077406115209),1,0.5121022036297134,0.5658332477182798,0.42690192280729233,"[2, 5, -3]",2,2.3194398346301597,2.2328127275861327
373,8.133837665043057,2.4528701369442896,POINT (8.133837665043057 2.45287013694429),1,0.613848027178501,0.8250569915802582,0.14494251885606113,"[2, 5, -3]",2,1.7225245900525465,1.5560013341631234
458,1.2483358735752281,9.527212530611118,POINT (1.248335873575228 9.527212530611118),1,0.4639008844923411,0.6145544560103028,0.8120068706653001,"[2, 5, -3]",2,2.510699727629377,2.6767739116998306
374,1.0515407318884307,9.282656819571105,POINT (1.051540731888431 9.282656819571105),1,0.9122001090141596,0.7696427796536799,0.2973733492452475,"[2, 5, -3]",2,2.582488007966207,2.4705154182312627
378,5.151973521438034,0.6294325372843401,POINT (5.151973521438034 0.6294325372843401),1,0.353841274832854,0.5079407269047405,0.7115243889626333,"[2, 5, -3]",2,2.4033254848188603,2.425162404824587
429,3.056537705336849,3.4036563407396736,POINT (3.056537705336849 3.403656340739674),1,0.27422142131692606,0.7221493052557348,0.012223478883864991,"[2, 5, -3]",2,1.1163677110062475,1.0918795222020372
430,7.41513181641026,0.5290517775933612,POINT (7.41513181641026 0.5290517775933612),1,0.8049549490008605,0.9317187045553333,0.3997184509602001,"[2, 5, -3]",2,2.1461909398512544,2.0461227294785047
431,0.49232838417649916,9.64647391462012,POINT (0.4923283841764992 9.64647391462012),1,0.3262575786602484,0.036288595447680816,0.3098692885111918,"[2, 5, -3]",2,2.889807254936327,2.92831062340762
434,4.199212253343044,6.5635753902992,POINT (4.199212253343044 6.5635753902992),1,0.6449461485679466,0.7054060990586765,0.4530799502431223,"[2, 5, -3]",2,2.3321600492616628,2.4342497149300684
437,5.380977812886955,9.163797342573835,POINT (5.380977812886955 9.163797342573835),1,0.06731403765381017,0.6339542568870917,0.537280901572989,"[2, 5, -3]",2,1.404000463106426,1.2875011814639987
439,1.6213244038236696,9.90829266351211,POINT (1.62132440382367 9.90829266351211),1,0.48631733196997207,0.021648588535634228,0.7534490789993609,"[2, 5, -3]",2,3.6827865658680365,3.618965083023903
428,3.3178770744526465,3.837132651338766,POINT (3.317877074452646 3.837132651338766),1,0.3963020721024032,0.8507041242454804,0.4375674173728801,"[2, 5, -3]",2,1.5287633130867258,1.4692402947229561
440,8.119800752049176,7.356294806160651,POINT (8.119800752049176 7.356294806160651),1,0.9427970162971127,0.18058754731006788,0.16716192628136461,"[2, 5, -3]",2,3.691580864255454,3.5135988906365583
445,9.693203201119333,6.5271495186438475,POINT (9.693203201119333 6.527149518643848),1,0.6988917097312363,0.3753362062096316,0.7556066238497519,"[2, 5, -3]",2,3.402717630892961,3.429729403220163
451,0.5631330973239712,4.258089194218187,POINT (0.5631330973239712 4.258089194218187),1,0.6381119671585477,0.8006246970808711,0.3335593481796858,"[2, 5, -3]",2,2.0085338883350388,1.9810591205801882
452,3.776116451243705,2.418093385581855,POINT (3.776116451243705 2.418093385581855),1,0.8352866539739864,0.18284035499426576,0.1826627853361089,"[2, 5, -3]",2,3.4875553832955504,3.4715510420868405
453,9.487524713719534,5.353595253994699,POINT (9.487524713719534 5.353595253994699),1,0.36655915505183356,0.06593211864795356,0.9462754855125217,"[2, 5, -3]",2,3.5475295583202815,3.669810626451435
454,2.2286400808815463,2.790300950616136,POINT (2.228640080881546 2.790300950616136),1,0.5193890020181076,0.6197403983385246,0.8346905111040827,"[2, 5, -3]",2,2.6339877184632488,2.6671084328111623
455,8.89838713917383,6.5000213500496855,POINT (8.898387139173829 6.500021350049686),1,0.9033417018905873,0.7304176729613269,0.4461761408138675,"[2, 5, -3]",2,2.7920241986723884,2.794987854595966
444,7.616217128602867,0.902231347250414,POINT (7.616217128602867 0.902231347250414),1,0.0011302922888023481,0.35265630856051,0.946131547040097,"[2, 5, -3]",2,2.2430795144966815,2.24493835378082
427,4.699999816761636,9.696362017010443,POINT (4.699999816761636 9.696362017010443),1,0.3336233754836496,0.9090222765345124,0.014474538388032365,"[2, 5, -3]",2,0.8636767362863069,0.8243643035754108
426,2.5701561525717462,6.985585823976226,POINT (2.570156152571746 6.985585823976226),1,0.8893302447951466,0.09305397045341124,0.12792353466230078,"[2, 5, -3]",2,3.7204760833457713,3.7704220413456255
424,2.7058391286550556,9.39248768208653,POINT (2.705839128655056 9.39248768208653),1,0.11560545183111148,0.8338788729594971,0.19203813903621858,"[2, 5, -3]",2,0.7554912967794474,0.7546220142244995
385,6.479077080831424,1.0648412767576965,POINT (6.479077080831424 1.064841276757696),1,0.5443815558475924,0.5152342218381528,0.175321391140689,"[2, 5, -3]",2,2.2336160591595684,2.2334121094136163
386,3.0133465851769836,7.6273776950312255,POINT (3.013346585176984 7.627377695031226),1,0.41580384609300125,0.46533448282085565,0.4855725491770404,"[2, 5, -3]",2,2.3865112757213316,2.6044782347194513
392,2.212525773060885,3.5086898331454606,POINT (2.212525773060885 3.508689833145461),1,0.11638655054220925,0.20014945784306148,0.730287411149389,"[2, 5, -3]",2,2.5627615965476847,2.4158396377498725
393,4.610292968042014,7.98240926456197,POINT (4.610292968042014 7.98240926456197),1,0.786540242085348,0.8297223839297557,0.12233955992544032,"[2, 5, -3]",2,2.0359752762366248,1.946089657373631
396,8.401538785990624,2.689685874286656,POINT (8.401538785990624 2.689685874286656),1,0.07262790477527159,0.6473916535464297,0.26970524573158294,"[2, 5, -3]",2,1.1201777481892667,1.1417460671418203
397,4.16433565219342,9.747484127900693,POINT (4.16433565219342 9.747484127900693),1,0.6867709110438772,0.6633043776932463,0.7819839178285637,"[2, 5, -3]",2,2.828916984529825,2.8235276390243143
401,5.638684182991792,9.176935921863702,POINT (5.638684182991792 9.176935921863702),1,0.7334877304046419,0.7240648528397017,0.23008768655523348,"[2, 5, -3]",2,2.248933441685114,2.311154373021898
404,3.5085649853670633,3.7799074587187578,POINT (3.508564985367063 3.779907458718758),1,0.3417417682555416,0.8884082166299571,0.695947801244253,"[2, 5, -3]",2,1.602614904495422,1.5449940385736394
407,3.216237578572313,5.649657735725473,POINT (3.216237578572313 5.649657735725473),1,0.6176742035207239,0.8938826415264863,0.7015761440392639,"[2, 5, -3]",2,2.149159268027739,2.2253595647402387
409,8.653238778705472,1.5537192581138481,POINT (8.653238778705472 1.553719258113848),1,0.5719613234037682,0.95223226155132,0.6033468653244013,"[2, 5, -3]",2,1.8428049890292977,1.6063171156936642
410,2.1826309973282476,8.825409763240906,POINT (2.182630997328248 8.825409763240906),1,0.08757691316907579,0.706526861848645,0.4459687903265328,"[2, 5, -3]",2,1.2080688929673944,1.2482033100897356
413,3.075221487519765,2.737602629092083,POINT (3.075221487519765 2.737602629092083),1,0.5308798962006043,0.9555190110071208,0.9984355053879879,"[2, 5, -3]",2,2.1491572757749546,2.161304009235067
